Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Yds,4QC,GWD,Awards,Player-additional
1,Bobby Layne,24,DET,QB,12,12,6-6-0,152,336,45.2,2323,16,4.8,18,5.4,82,6.9,5.46,15.3,193.6,62.1,354,1,1,,LaynBo00
2,George Ratterman,24,NYY,QB,12,12,7-5-0,140,294,47.6,2251,22,7.5,24,8.2,69,7.7,5.48,16.1,187.6,64.6,104,1,1,,RattGe00
3,Norm Van Brocklin,24,RAM,QB,12,6,5-1-0,127,233,54.5,2061,18,7.7,14,6.0,58,8.8,7.69,16.2,171.8,85.1,103,1,1,PB,VanBNo00
4,Otto Graham,29,CLE,QB,12,12,10-2-0,137,253,54.2,1943,14,5.5,20,7.9,80,7.7,5.23,14.2,161.9,64.7,291,2,2,PB,GrahOt00
5,Y.A. Tittle,24,BCL,QB,12,7,1-6-0,161,315,51.1,1884,8,2.5,19,6.0,62,6.0,3.77,11.7,157.0,52.9,269,0,0,,TittY.00
6,Frankie Albert,30,SFO,QB,12,12,3-9-0,155,306,50.7,1767,14,4.6,23,7.5,43,5.8,3.31,11.4,147.3,52.3,311,0,1,PB,AlbeFr00
7,Johnny Lujack,25,CHI,QB,12,12,9-3-0,121,254,47.6,1731,4,1.6,21,8.3,70,6.8,3.41,14.3,144.3,41.0,117,0,1,PBAP-1,LujaJo00
8,Jim Hardy,27,CRD,QB,11,8,3-5-0,117,257,45.5,1636,17,6.6,24,9.3,58,6.4,3.49,14.0,148.7,49.7,255,0,1,PB,HardJi00
9,Tommy Thompson,34,PHI,QB,12,12,6-6-0,107,239,44.8,1608,11,4.6,22,9.2,75,6.7,3.51,15.0,134.0,44.4,142,1,2,,ThomTo21
10,Bob Waterfield,30,RAM,QB,12,6,4-2-0,122,213,57.3,1540,11,5.2,13,6.1,72,7.2,5.52,12.6,128.3,71.7,62,0,0,PBAP-2,WateBo01
11,Tobin Rote,22,GNB,QB,12,12,3-9-0,83,224,37.1,1231,7,3.1,24,10.7,96,5.5,1.30,14.8,102.6,26.7,153,0,0,,RoteTo00
12,Sammy Baugh,36,WAS,QB,11,7,3-4-0,90,166,54.2,1130,10,6.0,11,6.6,56,6.8,5.03,12.6,102.7,68.1,77,0,0,,BaugSa00
13,Charlie Conerly,29,NYG,QB,11,8,6-2-0,56,132,42.4,1000,8,6.1,7,5.3,43,7.6,6.40,17.9,90.9,67.1,154,3,3,PB,ConeCh00
14,Harry Gilmer,24,WAS,QB,10,5,0-5-0,63,141,44.7,948,8,5.7,12,8.5,74,6.7,4.03,15.0,94.8,50.8,61,0,0,PB,GilmHa00
15,Joe Geri,26,PIT,TB,12,8,,41,113,36.3,866,6,5.3,15,13.3,78,7.7,2.75,21.1,72.2,42.4,64,0,0,PBAP-1,GeriJo00
16,Adrian Burk,23,BCL,QB,12,5,0-5-0,43,119,36.1,798,6,5.0,12,10.1,69,6.7,3.18,18.6,66.5,37.4,40,0,0,,BurkAd00
17,Frank Tripucka,23,CRD,QB,10,4,2-2-0,47,108,43.5,720,4,3.7,7,6.5,,6.7,4.49,15.3,72.0,51.5,131,0,0,,TripFr00
18,Paul Christman,32,GNB,QB,11,0,,51,126,40.5,545,7,5.6,7,5.6,44,4.3,2.94,10.7,49.5,49.2,132,1,1,,ChriPa20
19,John Rauch,23,NYY,QB,8,0,,29,51,56.9,502,6,11.8,2,3.9,82,9.8,10.43,17.3,62.8,113.4,77,0,0,,RaucJo20
20,Fred Enke,26,DET,QB,12,0,,22,53,41.5,424,5,9.4,7,13.2,46,8.0,3.94,19.3,35.3,61.9,14,1,1,,EnkeFr20
21,Joe Gasparella,23,PIT,BB,11,4,,23,54,42.6,383,3,5.6,5,9.3,51,7.1,4.04,16.7,34.8,47.1,,0,0,,GaspJo20
22,Travis Tidwell,25,NYG,QB,8,3,3-0-0,25,55,45.5,338,4,7.3,3,5.5,47,6.1,5.15,13.5,42.3,67.1,113,0,0,,TidwTr20
23,Bob Gage,23,PIT,TB,10,8,,21,58,36.2,294,1,1.7,5,8.6,42,5.1,1.53,14.0,29.4,23.2,46,0,0,,GageBo20
24,Bill Mackrides,25,PHI,QB,8,0,,14,46,30.4,228,4,8.7,6,13.0,59,5.0,0.83,16.3,28.5,37.5,8,0,0,,MackBi20
25,Sid Luckman,34,CHI,QB,11,0,,13,37,35.1,180,1,2.7,2,5.4,44,4.9,2.97,13.8,16.4,38.1,32,0,0,,LuckSi00
