Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Ken Anderson,26,CIN,QB,13,13,10-3-0,228,377,60.5,3169,21,5.6,11,2.9,55,8.4,8.21,13.9,243.8,93.9,32,247,7.82,7.14,6.96,1,2,PBAP-2,AndeKe00
2,Fran Tarkenton,35,MIN,QB,14,14,12-2-0,273,425,64.2,2994,25,5.9,13,3.1,46,7.0,6.84,11.0,213.9,91.8,27,245,5.97,6.08,5.89,1,1,PBAP-1AP MVP-1AP OPoY-1,TarkFr00
3,Roger Staubach,33,DAL,QB,13,13,9-4-0,198,348,56.9,2666,17,4.9,16,4.6,62,7.7,6.57,13.5,205.1,78.5,36,213,9.38,6.39,5.40,2,3,PB,StauRo00
4,Jim Hart,31,STL,QB,14,14,11-3-0,182,345,52.8,2507,19,5.5,19,5.5,80,7.3,5.89,13.8,179.1,71.7,6,43,1.71,7.02,5.67,4,4,PB,HartJi00
5,Bert Jones,24,BAL,QB,14,14,10-4-0,203,344,59.0,2483,18,5.2,8,2.3,90,7.2,7.22,12.2,177.4,89.1,38,325,9.95,5.65,5.65,3,3,,JoneBe00
6,Billy Kilmer,36,WAS,QB,12,12,8-4-0,178,346,51.4,2440,23,6.6,16,4.6,96,7.1,6.30,13.7,203.3,77.2,23,138,6.23,6.24,5.53,2,4,,KilmBi00
7,Joe Ferguson,25,BUF,QB,14,14,8-6-0,169,321,52.6,2426,25,7.8,17,5.3,77,7.6,6.73,14.4,173.3,81.3,20,153,5.87,6.67,5.89,1,3,,FergJo00
8,Craig Morton,32,NYG,QB,14,14,5-9-0,186,363,51.2,2359,11,3.0,16,4.4,56,6.5,5.12,12.7,168.5,63.6,47,331,11.46,4.95,3.73,2,2,,MortCr00
9,Ken Stabler,30,OAK,QB,14,13,10-3-0,171,293,58.4,2296,16,5.5,24,8.2,53,7.8,5.24,13.4,164.0,67.4,19,202,6.09,6.71,4.28,1,2,,StabKe00
10,Joe Namath,32,NYJ,QB,14,13,3-10-0,157,326,48.2,2286,15,4.6,28,8.6,91,7.0,4.07,14.6,163.3,51.0,27,253,7.65,5.76,3.04,0,0,,NamaJo00
11,James Harris,28,RAM,QB,13,13,11-2-0,157,285,55.1,2148,14,4.9,15,5.3,54,7.5,6.15,13.7,165.2,73.8,21,180,6.86,6.43,5.14,2,3,,HarrJa01
12,John Hadl,35,GNB,QB,14,13,4-9-0,191,353,54.1,2095,6,1.7,21,5.9,54,5.9,3.60,11.0,149.6,52.8,35,284,9.02,4.67,2.54,1,1,,HadlJo00
13,Terry Bradshaw,27,PIT,QB,14,14,12-2-0,165,286,57.7,2055,18,6.3,9,3.1,59,7.2,7.03,12.5,146.8,88.0,31,290,9.78,5.57,5.43,0,2,PB,BradTe00
14,Dan Pastorini,26,HOU,QB,14,14,10-4-0,163,342,47.7,2053,14,4.1,16,4.7,77,6.0,4.72,12.6,146.6,61.0,24,210,6.56,5.04,3.83,3,4,PB,PastDa00
15,Steve Grogan,22,NWE,QB,13,7,1-6-0,139,274,50.7,1976,11,4.0,18,6.6,62,7.2,5.06,14.2,152.0,60.4,22,207,7.43,5.98,3.98,0,0,,GrogSt00
16,Mike Phipps,28,CLE,QB,14,11,3-8-0,162,313,51.8,1749,4,1.3,19,6.1,48,5.6,3.11,10.8,124.9,47.5,28,261,8.21,4.36,2.09,2,2,,PhipMi00
