Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Lynn Dickey,34,GNB,QB,16,16,8-8-0,289,484,59.7,4458,32,6.6,29,6.0,200,47.7,75,9.2,7.84,15.4,278.6,87.3,40,307,7.63,7.92,6.65,3,4,AP MVP-5AP OPoY-6,DickLy00
2,Bill Kenney,28,KAN,QB,16,16,6-10-0,346,603,57.4,4348,24,4.0,18,3.0,191,43.5,53,7.2,6.66,12.6,271.8,80.8,41,284,6.37,6.31,5.80,0,1,PB,KennBi00
3,Danny White,31,DAL,QB,16,16,12-4-0,334,533,62.7,3980,29,5.4,23,4.3,195,47.9,80,7.5,6.61,11.9,248.8,85.6,37,314,6.49,6.43,5.63,2,2,,WhitDa01
4,Joe Montana,27,SFO,QB,16,16,10-6-0,332,515,64.5,3910,26,5.0,12,2.3,199,51.3,77,7.6,7.55,11.8,244.4,94.6,33,224,6.02,6.73,6.69,2,1,PBAP MVP-5AP OPoY-5,MontJo01
5,Joe Theismann,34,WAS,QB,16,16,14-2-0,276,459,60.1,3714,29,6.3,11,2.4,174,45.6,84,8.1,8.28,13.5,232.1,97.0,34,242,6.90,7.04,7.22,2,4,PBAP-1AP MVP-1AP OPoY-1,TheiJo00
6,Brian Sipe,34,CLE,QB,15,14,8-6-0,291,496,58.7,3566,26,5.2,23,4.6,167,43.8,66,7.2,6.15,12.3,237.7,79.1,27,233,5.16,6.37,5.39,1,2,,SipeBr00
7,Richard Todd,30,NYJ,QB,16,16,7-9-0,308,518,59.5,3478,18,3.5,26,5.0,160,44.5,64,6.7,5.15,11.3,217.4,70.3,42,314,7.50,5.65,4.20,0,1,,ToddRi00
8,Ron Jaworski,32,PHI,QB,16,16,5-11-0,235,446,52.7,3315,20,4.5,18,4.0,142,37.7,83,7.4,6.51,14.1,207.2,75.1,53,385,10.62,5.87,5.05,2,3,,JawoRo00
9,Vince Ferragamo,29,RAM,QB,16,16,9-7-0,274,464,59.1,3276,22,4.7,23,5.0,144,44.9,61,7.1,5.78,12.0,204.8,75.9,21,178,4.33,6.39,5.16,3,3,,FerrVi00
10,Steve Bartkowski,31,ATL,QB,14,14,6-8-0,274,432,63.4,3167,22,5.1,5,1.2,162,44.5,76,7.3,7.83,11.6,226.2,97.6,51,348,10.56,5.84,6.28,3,3,,BartSt00
11,Joe Ferguson,33,BUF,QB,16,16,8-8-0,281,508,55.3,2995,26,5.1,25,4.9,152,42.4,43,5.9,4.70,10.7,187.2,69.3,27,266,5.05,5.10,3.97,3,3,,FergJo00
12,Dan Fouts,32,SDG,QB,10,10,5-5-0,215,340,63.2,2975,20,5.9,15,4.4,145,54.2,59,8.8,7.94,13.8,297.5,92.5,14,107,3.95,8.10,7.32,2,1,PB,FoutDa00
13,Jim Plunkett,36,RAI,QB,14,13,10-3-0,230,379,60.7,2935,20,5.3,18,4.7,133,48.2,99,7.7,6.66,12.8,209.6,82.7,42,363,9.98,6.11,5.14,3,4,,PlunJi00
14,Jack Thompson,27,TAM,QB,14,13,2-11-0,249,423,58.9,2906,18,4.3,21,5.0,134,41.8,80,6.9,5.49,11.7,207.6,73.3,39,289,8.44,5.66,4.40,0,0,,ThomJa00
15,Steve Dils,28,MIN,QB,16,12,5-7-0,239,444,53.8,2840,11,2.5,16,3.6,134,38.9,68,6.4,5.27,11.9,177.5,66.8,37,254,7.69,5.38,4.34,1,3,,DilsSt00
16,Neil Lomax,24,STL,QB,13,13,7-5-1,209,354,59.0,2636,24,6.8,11,3.1,113,42.3,71,7.4,7.40,12.6,202.8,92.0,43,315,10.83,5.85,5.81,1,1,,LomaNe00
17,Eric Hipple,26,DET,QB,16,16,9-7-0,204,387,52.7,2577,12,3.1,18,4.7,121,39.9,80,6.7,5.19,12.6,161.1,64.7,37,274,8.73,5.43,4.09,1,1,,HippEr00
18,Cliff Stoudt,28,PIT,QB,16,15,9-6-0,197,381,51.7,2553,12,3.1,21,5.5,130,38.7,52,6.7,4.85,13.0,159.6,60.6,51,339,11.81,5.13,3.49,2,2,,StouCl00
19,Scott Brunner,26,NYG,QB,16,12,3-9-0,190,386,49.2,2516,9,2.3,22,5.7,107,39.1,62,6.5,4.42,13.2,157.3,54.3,31,218,7.43,5.51,3.57,0,1,,BrunSc00
20,Steve Grogan,30,NWE,QB,12,12,6-6-0,168,303,55.4,2411,15,5.0,12,4.0,110,43.4,76,8.0,7.17,14.4,200.9,81.4,29,195,8.73,6.67,5.95,2,2,,GrogSt00
21,Mike Pagel,23,BAL,QB,15,15,7-8-0,163,328,49.7,2353,12,3.7,17,5.2,99,37.0,72,7.2,5.57,14.4,156.9,64.0,40,278,10.87,5.64,4.21,3,4,,PageMi00
22,Ken Anderson,34,CIN,QB,13,13,5-8-0,198,297,66.7,2333,12,4.0,13,4.4,118,52.2,80,7.9,6.69,11.8,179.5,85.6,25,187,7.76,6.66,5.59,0,0,,AndeKe00
23,Dan Marino,22,MIA,QB,11,9,7-2-0,173,296,58.4,2210,20,6.8,6,2.0,105,47.1,85,7.5,7.91,12.8,200.9,96.0,10,80,3.27,6.96,7.39,1,2,PBAP-2AP MVP-3AP OPoY-3AP ORoY-2,MariDa00
24,Jim McMahon,24,CHI,QB,14,13,7-6-0,175,295,59.3,2184,12,4.1,13,4.4,90,41.8,87,7.4,6.23,12.5,156.0,77.6,42,266,12.46,5.69,4.67,1,1,,McMaJi00
25,Dave Krieg,25,SEA,QB,9,8,5-3-0,147,243,60.5,2139,18,7.4,11,4.5,98,45.2,50,8.8,8.25,14.6,237.7,95.0,38,279,13.52,6.62,6.14,1,1,,KrieDa00
26,Ken Stabler,38,NOR,QB,14,14,7-7-0,176,311,56.6,1988,9,2.9,18,5.8,102,43.5,48,6.4,4.37,11.3,142.0,61.4,18,159,5.47,5.56,3.64,2,4,,StabKe00
27,Ed Luther,26,SDG,QB,16,6,1-5-0,151,287,52.6,1875,7,2.4,17,5.9,86,40.3,46,6.5,4.36,12.4,117.2,56.6,13,120,4.33,5.85,3.77,0,2,,LuthEd00
28,John Elway,23,DEN,QB,11,10,4-6-0,123,259,47.5,1663,7,2.7,14,5.4,74,35.5,49,6.4,4.53,13.5,151.2,54.9,28,218,9.76,5.03,3.33,1,1,,ElwaJo00
29,Steve DeBerg,29,DEN,QB,10,5,4-1-0,119,215,55.3,1617,9,4.2,7,3.3,74,40.0,54,7.5,6.89,13.6,161.7,79.9,25,201,10.42,5.90,5.34,3,4,,DebeSt00
30,Oliver Luck,23,HOU,QB,7,6,2-4-0,124,217,57.1,1375,8,3.7,13,6.0,68,43.8,66,6.3,4.38,11.1,196.4,63.4,16,138,6.87,5.31,3.48,0,1,,LuckOl00
31,Jeff Rutledge,26,NYG,QB,4,4,0-3-1,87,174,50.0,1208,3,1.7,8,4.6,52,39.7,54,6.9,5.22,13.9,302.0,59.3,15,110,7.94,5.81,4.22,0,0,,RutlJe00
32,Jim Zorn,30,SEA,QB,16,8,4-4-0,103,205,50.2,1166,7,3.4,7,3.4,56,38.8,43,5.7,4.83,11.3,72.9,64.8,9,64,4.21,5.15,4.33,0,0,,ZornJi00
33,Turk Schonert,26,CIN,QB,9,3,2-1-0,92,156,59.0,1159,2,1.3,5,3.2,61,46.2,54,7.4,6.24,12.6,128.8,73.1,15,122,8.77,6.06,4.98,1,0,,SchoTu00
