Rk,Player,Age,Team,Pos,G,GS,QBrec▼,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Steve Young,28,SFO,QB,10,3,3-0-0,64,92,69.6,1001,8,8.7,3,3.3,48,55.8,50,10.9,11.15,15.6,100.1,120.8,12,84,11.54,8.82,9.06,0,1,,YounSt00
2,John Fourcade,29,NOR,QB,13,3,3-0-0,61,107,57.0,930,7,6.5,4,3.7,45,47.5,54,8.7,8.32,15.2,71.5,92.0,13,96,10.83,6.95,6.62,1,2,,FourJo00
3,Frank Reich,28,BUF,QB,7,3,3-0-0,53,87,60.9,701,7,8.0,2,2.3,30,50.5,63,8.1,8.63,13.2,100.1,103.7,4,24,4.40,7.44,7.99,1,1,,ReicFr00
4,Jeff Hostetler,28,NYG,QB,16,1,1-0-0,20,39,51.3,294,3,7.7,2,5.1,17,42.2,35,7.5,6.77,14.7,18.4,80.5,6,37,13.33,5.71,5.04,0,0,,HostJe00
5,Gary Kubiak,28,DEN,QB,16,1,1-0-0,32,55,58.2,284,2,3.6,2,3.6,17,36.5,22,5.2,4.25,8.9,17.8,69.1,8,53,12.70,3.67,2.87,0,0,,KubiGa00
6,Turk Schonert,32,CIN,QB,7,1,1-0-0,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2,27,50.00,-6.75,-6.75,0,0,,SchoTu00
7,Joe Montana,33,SFO,QB,13,13,11-2-0,271,386,70.2,3521,26,6.7,8,2.1,160,53.7,95,9.1,9.54,13.0,270.8,112.4,33,198,7.88,7.93,8.31,4,5,PBAP-1AP MVP-1AP OPoY-1,MontJo01
8,Tommy Kramer,34,MIN,QB,8,4,3-1-0,77,136,56.6,906,7,5.1,7,5.1,46,39.9,39,6.7,5.38,11.8,113.3,72.7,12,75,8.11,5.61,4.43,0,0,,KramTo00
9,Phil Simms,34,NYG,QB,15,15,11-4-0,228,405,56.3,3061,14,3.5,14,3.5,141,44.5,62,7.6,6.69,13.4,204.1,77.6,40,244,8.99,6.33,5.54,2,2,,SimmPh00
10,Jim Everett,26,RAM,QB,16,16,11-5-0,304,518,58.7,4310,29,5.6,17,3.3,194,47.3,78,8.3,7.96,14.2,269.4,90.6,29,214,5.30,7.49,7.15,4,4,,EverJi00
11,Randall Cunningham,26,PHI,QB,16,16,11-5-0,290,532,54.5,3400,21,3.9,15,2.8,167,40.9,66,6.4,5.91,11.7,212.5,75.5,45,343,7.80,5.30,4.86,4,5,PB,CunnRa00
