time,player,team,value
2001,A.J. Feeley,PHI,143.0
2002,A.J. Feeley,PHI,1154.0
2004,A.J. Feeley,MIA,3047.0
2006,A.J. Feeley,PHI,3389.0
2007,A.J. Feeley,PHI,4070.0
2011,A.J. Feeley,LA,4618.0
2015,AJ McCarron,CIN,854.0
2017,AJ McCarron,CIN,920.0
2018,AJ McCarron,LV,928.0
2019,AJ McCarron,HOU,1153.0
2020,AJ McCarron,HOU,1173.0
2023,AJ McCarron,CIN,1192.0
2000,Aaron Brooks,NO,1514.0
2001,Aaron Brooks,NO,5346.0
2002,Aaron Brooks,NO,8918.0
2003,Aaron Brooks,NO,12464.0
2004,Aaron Brooks,NO,16274.0
2005,Aaron Brooks,NO,19156.0
2006,Aaron Brooks,LV,20261.0
2005,Aaron Rodgers,GB,65.0
2006,Aaron Rodgers,GB,111.0
2007,Aaron Rodgers,GB,329.0
2008,Aaron Rodgers,GB,4367.0
2009,Aaron Rodgers,GB,8801.0
2010,Aaron Rodgers,GB,12723.0
2011,Aaron Rodgers,GB,17359.0
2012,Aaron Rodgers,GB,21654.0
2013,Aaron Rodgers,GB,24190.0
2014,Aaron Rodgers,GB,28571.0
2015,Aaron Rodgers,GB,32392.0
2016,Aaron Rodgers,GB,36820.0
2017,Aaron Rodgers,GB,38495.0
2018,Aaron Rodgers,GB,42937.0
2019,Aaron Rodgers,GB,46939.0
2020,Aaron Rodgers,GB,51238.0
2021,Aaron Rodgers,GB,55353.0
2022,Aaron Rodgers,GB,59048.0
2023,Aaron Rodgers,NYJ,59048.0
2024,Aaron Rodgers,NYJ,62945.0
1987,Adrian Breen,CIN,9.0
1950,Adrian Burk,BCL,798.0
1951,Adrian Burk,BCL,1596.0
1952,Adrian Burk,PHI,2157.0
1953,Adrian Burk,PHI,2945.0
1954,Adrian Burk,PHI,4685.0
1955,Adrian Burk,PHI,6044.0
1956,Adrian Burk,PHI,6470.0
2023,Aidan O'Connell,LV,2218.0
2024,Aidan O'Connell,LV,3830.0
1999,Akili Smith,CIN,805.0
2000,Akili Smith,CIN,2058.0
2001,Akili Smith,CIN,2095.0
2002,Akili Smith,CIN,2212.0
1954,Al Dorow,WAS,997.0
1955,Al Dorow,WAS,1034.0
1956,Al Dorow,WAS,1764.0
1957,Al Dorow,PHI,1976.0
1970,Al Woodall,NYJ,1265.0
1971,Al Woodall,NYJ,1660.0
1973,Al Woodall,NYJ,2888.0
1974,Al Woodall,NYJ,2903.0
1970,Alan Pastrana,DEN,420.0
1987,Alan Risher,GNB,564.0
1987,Alex Espinoza,KAN,69.0
2005,Alex Smith,SF,875.0
2006,Alex Smith,SF,3776.0
2007,Alex Smith,SF,4690.0
2009,Alex Smith,SF,7040.0
2010,Alex Smith,SF,9410.0
2011,Alex Smith,SF,12554.0
2012,Alex Smith,SF,14291.0
2013,Alex Smith,KC,17604.0
2014,Alex Smith,KC,20869.0
2015,Alex Smith,KC,24355.0
2016,Alex Smith,KC,27857.0
2017,Alex Smith,KC,31899.0
2018,Alex Smith,WAS,34079.0
2020,Alex Smith,WAS,35661.0
2015,Alex Tanney,TEN,99.0
2019,Alex Tanney,NYG,100.0
1995,Alex Van Pelt,BUF,106.0
1996,Alex Van Pelt,BUF,115.0
1997,Alex Van Pelt,BUF,799.0
1999,Alex Van Pelt,BUF,808.0
2000,Alex Van Pelt,BUF,875.0
2001,Alex Van Pelt,BUF,2931.0
2002,Alex Van Pelt,BUF,2936.0
2003,Alex Van Pelt,BUF,2985.0
1990,Andre Ware,DET,164.0
1992,Andre Ware,DET,841.0
1993,Andre Ware,DET,1112.0
2012,Andrew Luck,IND,4374.0
2013,Andrew Luck,IND,8196.0
2014,Andrew Luck,IND,12957.0
2015,Andrew Luck,IND,14838.0
2016,Andrew Luck,IND,19078.0
2018,Andrew Luck,IND,23671.0
2006,Andrew Walter,LV,1677.0
2007,Andrew Walter,LV,1715.0
2008,Andrew Walter,LV,1919.0
2011,Andy Dalton,CIN,3398.0
2012,Andy Dalton,CIN,7067.0
2013,Andy Dalton,CIN,11360.0
2014,Andy Dalton,CIN,14758.0
2015,Andy Dalton,CIN,18008.0
2016,Andy Dalton,CIN,22214.0
2017,Andy Dalton,CIN,25534.0
2018,Andy Dalton,CIN,28100.0
2019,Andy Dalton,CIN,31594.0
2020,Andy Dalton,DAL,33764.0
2021,Andy Dalton,CHI,35279.0
2022,Andy Dalton,NO,38150.0
2023,Andy Dalton,CAR,38511.0
2024,Andy Dalton,CAR,39500.0
2022,Anthony Brown,BAL,302.0
1989,Anthony Dilweg,GNB,7.0
1990,Anthony Dilweg,GNB,1274.0
2023,Anthony Richardson,IND,577.0
2024,Anthony Richardson,IND,2391.0
2000,Anthony Wright,DAL,237.0
2001,Anthony Wright,DAL,766.0
2003,Anthony Wright,BAL,1965.0
2005,Anthony Wright,BAL,3547.0
2006,Anthony Wright,CIN,3578.0
2007,Anthony Wright,NYG,3590.0
1971,Archie Manning,NOR,1164.0
1972,Archie Manning,NOR,3945.0
1973,Archie Manning,NOR,5587.0
1974,Archie Manning,NOR,7016.0
1975,Archie Manning,NOR,8699.0
1977,Archie Manning,NOR,9983.0
1978,Archie Manning,NOR,13399.0
1979,Archie Manning,NOR,16568.0
1980,Archie Manning,NOR,20284.0
1981,Archie Manning,NOR,21731.0
1982,Archie Manning,2TM,22611.0
1982,Archie Manning,NOR,22614.0
1982,Archie Manning,HOU,23491.0
1983,Archie Manning,HOU,24246.0
1984,Archie Manning,MIN,24791.0
1953,Arnie Galiffa,NYG,129.0
1954,Arnie Galiffa,SFO,183.0
1982,Art Schlichter,BAL,197.0
1984,Art Schlichter,IND,899.0
1985,Art Schlichter,IND,1006.0
2014,Austin Davis,LA,2001.0
2015,Austin Davis,CLE,2548.0
2017,Austin Davis,SEA,2548.0
1988,Babe Laufenberg,SDG,778.0
1990,Babe Laufenberg,DAL,1057.0
1952,Babe Parilli,GNB,1416.0
1953,Babe Parilli,GNB,2246.0
1956,Babe Parilli,CLE,2655.0
1957,Babe Parilli,GNB,3324.0
1958,Babe Parilli,GNB,4392.0
2022,Bailey Zappe,NE,781.0
2023,Bailey Zappe,NE,2053.0
2024,Bailey Zappe,CLE,2223.0
