season,week,player,team,weekly_yards,cumulative_yards
2025,1,Aaron Rodgers,PIT,244,244
2025,2,Aaron Rodgers,PIT,203,447
2025,3,Aaron Rodgers,PIT,139,586
2025,4,Aaron Rodgers,PIT,200,786
2025,6,Aaron Rodgers,PIT,235,1021
2025,7,Aaron Rodgers,PIT,249,1270
2025,8,Aaron Rodgers,PIT,219,1489
2025,9,Aaron Rodgers,PIT,203,1692
2025,10,Aaron Rodgers,PIT,161,1853
2025,11,Aaron Rodgers,PIT,116,1969
2025,13,Aaron Rodgers,PIT,117,2086
2025,14,Aaron Rodgers,PIT,284,2370
2025,15,Aaron Rodgers,PIT,224,2594
2025,16,Aaron Rodgers,PIT,266,2860
2025,17,Aaron Rodgers,PIT,168,3028
2025,18,Aaron Rodgers,PIT,294,3322
2025,18,Aidan O'Connell,LV,102,102
2025,4,Andy Dalton,CAR,58,58
2025,7,Andy Dalton,CAR,60,118
2025,8,Andy Dalton,CAR,175,293
2025,5,Anthony Richardson,IND,9,9
2025,17,Austin McNamara,NYJ,3,3
2025,1,Baker Mayfield,TB,167,167
2025,2,Baker Mayfield,TB,215,382
2025,3,Baker Mayfield,TB,233,615
2025,4,Baker Mayfield,TB,289,904
2025,5,Baker Mayfield,TB,379,1283
2025,6,Baker Mayfield,TB,256,1539
2025,7,Baker Mayfield,TB,228,1767
2025,8,Baker Mayfield,TB,152,1919
2025,10,Baker Mayfield,TB,273,2192
2025,11,Baker Mayfield,TB,173,2365
2025,12,Baker Mayfield,TB,41,2406
2025,13,Baker Mayfield,TB,194,2600
2025,14,Baker Mayfield,TB,122,2722
2025,15,Baker Mayfield,TB,277,2999
2025,16,Baker Mayfield,TB,145,3144
2025,17,Baker Mayfield,TB,346,3490
2025,18,Baker Mayfield,TB,203,3693
2025,1,Bo Nix,DEN,176,176
2025,2,Bo Nix,DEN,206,382
2025,3,Bo Nix,DEN,153,535
2025,4,Bo Nix,DEN,326,861
2025,5,Bo Nix,DEN,242,1103
2025,6,Bo Nix,DEN,174,1277
2025,7,Bo Nix,DEN,279,1556
2025,8,Bo Nix,DEN,247,1803
2025,9,Bo Nix,DEN,173,1976
2025,10,Bo Nix,DEN,150,2126
2025,11,Bo Nix,DEN,295,2421
2025,13,Bo Nix,DEN,321,2742
2025,14,Bo Nix,DEN,212,2954
2025,15,Bo Nix,DEN,302,3256
2025,16,Bo Nix,DEN,352,3608
2025,17,Bo Nix,DEN,182,3790
2025,18,Bo Nix,DEN,141,3931
2025,14,Brady Cook,NYJ,163,163
2025,15,Brady Cook,NYJ,176,339
2025,16,Brady Cook,NYJ,188,527
2025,17,Brady Cook,NYJ,152,679
2025,18,Brady Cook,NYJ,60,739
2025,18,Brandon Allen,TEN,72,72
2025,8,Breece Hall,NYJ,4,4
