season,week,player,team,weekly_yards,headshot_url,cumulative_yards
2025,1,Aaron Rodgers,PIT,244,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",244
2025,2,Aaron Rodgers,PIT,203,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",447
2025,3,Aaron Rodgers,PIT,139,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",586
2025,4,Aaron Rodgers,PIT,200,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",786
2025,6,Aaron Rodgers,PIT,235,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",1021
2025,7,Aaron Rodgers,PIT,249,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",1270
2025,8,Aaron Rodgers,PIT,219,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",1489
2025,9,Aaron Rodgers,PIT,203,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",1692
2025,10,Aaron Rodgers,PIT,161,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",1853
2025,11,Aaron Rodgers,PIT,116,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",1969
2025,13,Aaron Rodgers,PIT,117,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",2086
2025,14,Aaron Rodgers,PIT,284,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",2370
2025,15,Aaron Rodgers,PIT,224,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",2594
2025,16,Aaron Rodgers,PIT,266,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",2860
2025,17,Aaron Rodgers,PIT,168,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",3028
2025,18,Aaron Rodgers,PIT,294,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",3322
